id,scandate,dependencyId,vulnerabilityId,toolId,confidence,severity,count,id,repositoryId,packageId,id,group,artifact,version,ecosystem,id,source,cveId,sourceId,publishDate,description,CVSS2_score,CVSS2_severity,CVSS3_score,CVSS3_severity
120296,"Fri, 25 Sep 2020 18:14:08 -0400",8312,404,4,HIGH,,1,8312,25,351,351,org.apache.activemq,activeio-core,3.1.2,maven,404,NVD,CVE-2010-0684,,2010-04-05 16:30:00,Cross-site scripting (XSS) vulnerability in createDestination.action in Apache ActiveMQ before 5.3.1 allows remote authenticated users to inject arbitrary web script or HTML via the JMSDestination parameter in a queue action.,3.5,LOW,,
120297,"Fri, 25 Sep 2020 18:14:08 -0400",8312,405,4,HIGH,,1,8312,25,351,351,org.apache.activemq,activeio-core,3.1.2,maven,405,NVD,CVE-2010-1244,,2010-04-05 16:30:00,Cross-site request forgery (CSRF) vulnerability in createDestination.action in Apache ActiveMQ before 5.3.1 allows remote attackers to hijack the authentication of unspecified victims for requests that create queues via the JMSDestination parameter in a queue action.,6.8,MEDIUM,,
120298,"Fri, 25 Sep 2020 18:14:08 -0400",8312,108,4,HIGH,,1,8312,25,351,351,org.apache.activemq,activeio-core,3.1.2,maven,108,NVD,CVE-2011-4905,,2012-01-05 16:55:00,Apache ActiveMQ before 5.6.0 allows remote attackers to cause a denial of service (file-descriptor exhaustion and broker crash or hang) by sending many openwire failover:tcp:// connection requests.,5,MEDIUM,,
120299,"Fri, 25 Sep 2020 18:14:08 -0400",8312,406,4,HIGH,,1,8312,25,351,351,org.apache.activemq,activeio-core,3.1.2,maven,406,NVD,CVE-2012-5784,,2012-11-04 22:55:00,"Apache Axis 1.4 and earlier, as used in PayPal Payments Pro, PayPal Mass Pay, PayPal Transactional Information SOAP, the Java Message Service implementation in Apache ActiveMQ, and other products, does not verify that the server hostname matches a domain name in the subject's Common Name (CN) or subjectAltName field of the X.509 certificate, which allows man-in-the-middle attackers to spoof SSL servers via an arbitrary valid certificate.",5.8,MEDIUM,,
120300,"Fri, 25 Sep 2020 18:14:08 -0400",8312,407,4,HIGH,,1,8312,25,351,351,org.apache.activemq,activeio-core,3.1.2,maven,407,NVD,CVE-2012-6092,,2013-04-21 21:55:00,"Multiple cross-site scripting (XSS) vulnerabilities in the web demos in Apache ActiveMQ before 5.8.0 allow remote attackers to inject arbitrary web script or HTML via (1) the refresh parameter to PortfolioPublishServlet.java (aka demo/portfolioPublish or Market Data Publisher), or vectors involving (2) debug logs or (3) subscribe messages in webapp/websocket/chat.js.  NOTE: AMQ-4124 is covered by CVE-2012-6551.",4.3,MEDIUM,,
120301,"Fri, 25 Sep 2020 18:14:08 -0400",8312,408,4,HIGH,,1,8312,25,351,351,org.apache.activemq,activeio-core,3.1.2,maven,408,NVD,CVE-2012-6551,,2013-04-21 21:55:00,"The default configuration of Apache ActiveMQ before 5.8.0 enables a sample web application, which allows remote attackers to cause a denial of service (broker resource consumption) via HTTP requests.",5,MEDIUM,,
120302,"Fri, 25 Sep 2020 18:14:08 -0400",8312,409,4,HIGH,,1,8312,25,351,351,org.apache.activemq,activeio-core,3.1.2,maven,409,NVD,CVE-2013-1879,,2013-07-20 03:37:00,Cross-site scripting (XSS) vulnerability in scheduled.jsp in Apache ActiveMQ 5.8.0 and earlier allows remote attackers to inject arbitrary web script or HTML via vectors involving the cron of a message.,4.3,MEDIUM,,
120303,"Fri, 25 Sep 2020 18:14:08 -0400",8312,410,4,HIGH,,1,8312,25,351,351,org.apache.activemq,activeio-core,3.1.2,maven,410,NVD,CVE-2013-1880,,2014-02-05 18:55:00,"Cross-site scripting (XSS) vulnerability in the Portfolio publisher servlet in the demo web application in Apache ActiveMQ before 5.9.0 allows remote attackers to inject arbitrary web script or HTML via the refresh parameter to demo/portfolioPublish, a different vulnerability than CVE-2012-6092.",4.3,MEDIUM,,
120304,"Fri, 25 Sep 2020 18:14:08 -0400",8312,109,4,HIGH,,1,8312,25,351,351,org.apache.activemq,activeio-core,3.1.2,maven,109,NVD,CVE-2013-3060,,2013-04-21 21:55:00,"The web console in Apache ActiveMQ before 5.8.0 does not require authentication, which allows remote attackers to obtain sensitive information or cause a denial of service via HTTP requests.",6.4,MEDIUM,,
120305,"Fri, 25 Sep 2020 18:14:08 -0400",8312,115,4,HIGH,,1,8312,25,351,351,org.apache.activemq,activeio-core,3.1.2,maven,115,NVD,CVE-2014-3576,,2015-08-14 18:59:00,The processControlCommand function in broker/TransportConnection.java in Apache ActiveMQ before 5.11.0 allows remote attackers to cause a denial of service (shutdown) via a shutdown command.,5,MEDIUM,7.5,HIGH
120306,"Fri, 25 Sep 2020 18:14:08 -0400",8312,411,4,HIGH,,1,8312,25,351,351,org.apache.activemq,activeio-core,3.1.2,maven,411,NVD,CVE-2015-5182,,2017-09-25 21:29:00,Cross-site request forgery (CSRF) vulnerability in the jolokia API in A-MQ.,6.8,MEDIUM,8.8,HIGH
120307,"Fri, 25 Sep 2020 18:14:08 -0400",8312,412,4,HIGH,,1,8312,25,351,351,org.apache.activemq,activeio-core,3.1.2,maven,412,NVD,CVE-2015-5183,,2017-09-25 21:29:00,The Hawtio console in A-MQ does not set HTTPOnly or Secure attributes on cookies.,7.5,HIGH,6.3,MEDIUM
120308,"Fri, 25 Sep 2020 18:14:08 -0400",8312,413,4,HIGH,,1,8312,25,351,351,org.apache.activemq,activeio-core,3.1.2,maven,413,NVD,CVE-2015-5184,,2017-09-25 21:29:00,The Hawtio console in A-MQ allows remote attackers to obtain sensitive information and perform other unspecified impact.,7.5,HIGH,7.3,HIGH
120309,"Fri, 25 Sep 2020 18:14:08 -0400",8312,111,4,HIGH,,1,8312,25,351,351,org.apache.activemq,activeio-core,3.1.2,maven,111,NVD,CVE-2015-7559,,2019-08-01 14:15:00,It was found that the Apache ActiveMQ client before 5.15.5 exposed a remote shutdown command in the ActiveMQConnection class. An attacker logged into a compromised broker could use this flaw to achieve denial of service on a connected client.,4,MEDIUM,4.9,MEDIUM
120310,"Fri, 25 Sep 2020 18:14:08 -0400",8312,414,4,HIGH,,1,8312,25,351,351,org.apache.activemq,activeio-core,3.1.2,maven,414,NVD,CVE-2016-3088,,2016-06-01 20:59:00,The Fileserver web application in Apache ActiveMQ 5.x before 5.14.0 allows remote attackers to upload and execute arbitrary files via an HTTP PUT followed by an HTTP MOVE request.,7.5,HIGH,9.8,CRITICAL
120311,"Fri, 25 Sep 2020 18:14:08 -0400",8312,112,4,HIGH,,1,8312,25,351,351,org.apache.activemq,activeio-core,3.1.2,maven,112,NVD,CVE-2018-11775,,2018-09-10 20:29:00,TLS hostname verification when using the Apache ActiveMQ Client before 5.15.6 was missing which could make the client vulnerable to a MITM attack between a Java application using the ActiveMQ client and the ActiveMQ server. This is now enabled by default.,5.8,MEDIUM,7.4,HIGH
120312,"Fri, 25 Sep 2020 18:14:08 -0400",8312,1152,4,HIGH,,1,8312,25,351,351,org.apache.activemq,activeio-core,3.1.2,maven,1152,NVD,CVE-2020-13920,,2020-09-10 19:15:00,"Apache ActiveMQ uses LocateRegistry.createRegistry() to create the JMX RMI registry and binds the server to the jmxrmi entry. It is possible to connect to the registry without authentication and call the rebind method to rebind jmxrmi to something else. If an attacker creates another server to proxy the original, and bound that, he effectively becomes a man in the middle and is able to intercept the credentials when an user connects. Upgrade to Apache ActiveMQ 5.15.12.",4.3,MEDIUM,5.9,MEDIUM
120313,"Fri, 25 Sep 2020 18:14:08 -0400",8310,108,4,HIGH,,1,8310,25,350,350,org.apache.activemq,activemq-core,5.4.3,maven,108,NVD,CVE-2011-4905,,2012-01-05 16:55:00,Apache ActiveMQ before 5.6.0 allows remote attackers to cause a denial of service (file-descriptor exhaustion and broker crash or hang) by sending many openwire failover:tcp:// connection requests.,5,MEDIUM,,
120314,"Fri, 25 Sep 2020 18:14:08 -0400",8310,406,4,HIGH,,1,8310,25,350,350,org.apache.activemq,activemq-core,5.4.3,maven,406,NVD,CVE-2012-5784,,2012-11-04 22:55:00,"Apache Axis 1.4 and earlier, as used in PayPal Payments Pro, PayPal Mass Pay, PayPal Transactional Information SOAP, the Java Message Service implementation in Apache ActiveMQ, and other products, does not verify that the server hostname matches a domain name in the subject's Common Name (CN) or subjectAltName field of the X.509 certificate, which allows man-in-the-middle attackers to spoof SSL servers via an arbitrary valid certificate.",5.8,MEDIUM,,
120315,"Fri, 25 Sep 2020 18:14:08 -0400",8310,407,4,HIGH,,1,8310,25,350,350,org.apache.activemq,activemq-core,5.4.3,maven,407,NVD,CVE-2012-6092,,2013-04-21 21:55:00,"Multiple cross-site scripting (XSS) vulnerabilities in the web demos in Apache ActiveMQ before 5.8.0 allow remote attackers to inject arbitrary web script or HTML via (1) the refresh parameter to PortfolioPublishServlet.java (aka demo/portfolioPublish or Market Data Publisher), or vectors involving (2) debug logs or (3) subscribe messages in webapp/websocket/chat.js.  NOTE: AMQ-4124 is covered by CVE-2012-6551.",4.3,MEDIUM,,
120316,"Fri, 25 Sep 2020 18:14:08 -0400",8310,408,4,HIGH,,1,8310,25,350,350,org.apache.activemq,activemq-core,5.4.3,maven,408,NVD,CVE-2012-6551,,2013-04-21 21:55:00,"The default configuration of Apache ActiveMQ before 5.8.0 enables a sample web application, which allows remote attackers to cause a denial of service (broker resource consumption) via HTTP requests.",5,MEDIUM,,
120317,"Fri, 25 Sep 2020 18:14:08 -0400",8310,409,4,HIGH,,1,8310,25,350,350,org.apache.activemq,activemq-core,5.4.3,maven,409,NVD,CVE-2013-1879,,2013-07-20 03:37:00,Cross-site scripting (XSS) vulnerability in scheduled.jsp in Apache ActiveMQ 5.8.0 and earlier allows remote attackers to inject arbitrary web script or HTML via vectors involving the cron of a message.,4.3,MEDIUM,,
120318,"Fri, 25 Sep 2020 18:14:08 -0400",8310,410,4,HIGH,,1,8310,25,350,350,org.apache.activemq,activemq-core,5.4.3,maven,410,NVD,CVE-2013-1880,,2014-02-05 18:55:00,"Cross-site scripting (XSS) vulnerability in the Portfolio publisher servlet in the demo web application in Apache ActiveMQ before 5.9.0 allows remote attackers to inject arbitrary web script or HTML via the refresh parameter to demo/portfolioPublish, a different vulnerability than CVE-2012-6092.",4.3,MEDIUM,,
120319,"Fri, 25 Sep 2020 18:14:08 -0400",8310,109,4,HIGH,,1,8310,25,350,350,org.apache.activemq,activemq-core,5.4.3,maven,109,NVD,CVE-2013-3060,,2013-04-21 21:55:00,"The web console in Apache ActiveMQ before 5.8.0 does not require authentication, which allows remote attackers to obtain sensitive information or cause a denial of service via HTTP requests.",6.4,MEDIUM,,
