id,scandate,dependencyId,vulnerabilityId,dependencyPathId,toolId,confidence,severity,count,id,repositoryId,packageId,id,group,artifact,version,ecosystem,id,source,cveId,sourceId,publishDate,description,CVSS2_score,CVSS2_severity,CVSS3_score,CVSS3_severity
181,2020-09-03 23:51:58.937876,2769,218,870,2,,high,1,2769,25,2779,2779,npm,acorn,5.7.3,npm,218,Snyk,,SNYK-JS-ACORN-559469,2020-03-07 00:19:23,Regular Expression Denial of Service (ReDoS),,,7.5,high
182,2020-09-03 23:51:58.937876,2633,133,871,2,,high,1,2633,25,2724,2724,npm,ajv,6.10.0,npm,133,NVD,CVE-2020-15366,,2020-07-15 20:15:00,"An issue was discovered in ajv.validate() in Ajv (aka Another JSON Schema Validator) 6.12.2. A carefully crafted JSON schema could be provided that allows execution of other code by prototype pollution. (While untrusted schemas are recommended against, the worst case of an untrusted schema should be a denial of service, not execution of code.)",6.8,MEDIUM,5.6,MEDIUM
183,2020-09-03 23:51:58.937876,2633,133,872,2,,high,1,2633,25,2724,2724,npm,ajv,6.10.0,npm,133,NVD,CVE-2020-15366,,2020-07-15 20:15:00,"An issue was discovered in ajv.validate() in Ajv (aka Another JSON Schema Validator) 6.12.2. A carefully crafted JSON schema could be provided that allows execution of other code by prototype pollution. (While untrusted schemas are recommended against, the worst case of an untrusted schema should be a denial of service, not execution of code.)",6.8,MEDIUM,5.6,MEDIUM
184,2020-09-03 23:51:58.937876,2633,133,873,2,,high,1,2633,25,2724,2724,npm,ajv,6.10.0,npm,133,NVD,CVE-2020-15366,,2020-07-15 20:15:00,"An issue was discovered in ajv.validate() in Ajv (aka Another JSON Schema Validator) 6.12.2. A carefully crafted JSON schema could be provided that allows execution of other code by prototype pollution. (While untrusted schemas are recommended against, the worst case of an untrusted schema should be a denial of service, not execution of code.)",6.8,MEDIUM,5.6,MEDIUM
185,2020-09-03 23:51:58.937876,2634,133,874,2,,high,1,2634,25,1956,1956,npm,ajv,5.5.2,npm,133,NVD,CVE-2020-15366,,2020-07-15 20:15:00,"An issue was discovered in ajv.validate() in Ajv (aka Another JSON Schema Validator) 6.12.2. A carefully crafted JSON schema could be provided that allows execution of other code by prototype pollution. (While untrusted schemas are recommended against, the worst case of an untrusted schema should be a denial of service, not execution of code.)",6.8,MEDIUM,5.6,MEDIUM
186,2020-09-03 23:51:58.937876,2635,133,875,2,,high,1,2635,25,2725,2725,npm,ajv,4.11.8,npm,133,NVD,CVE-2020-15366,,2020-07-15 20:15:00,"An issue was discovered in ajv.validate() in Ajv (aka Another JSON Schema Validator) 6.12.2. A carefully crafted JSON schema could be provided that allows execution of other code by prototype pollution. (While untrusted schemas are recommended against, the worst case of an untrusted schema should be a denial of service, not execution of code.)",6.8,MEDIUM,5.6,MEDIUM
187,2020-09-03 23:51:58.937876,1683,196,876,2,,medium,1,1683,25,2117,2117,npm,angular,1.6.1,npm,196,Snyk,,SNYK-JS-ANGULAR-471882,2019-10-04 10:01:13,Cross-site Scripting (XSS),,,6.5,medium
188,2020-09-03 23:51:58.937876,1683,197,876,2,,medium,1,1683,25,2117,2117,npm,angular,1.6.1,npm,197,Snyk,,SNYK-JS-ANGULAR-471885,2019-10-04 10:11:35,Denial of Service (DoS),,,5.3,medium
191,2020-09-03 23:51:58.937876,1683,200,876,2,,high,1,1683,25,2117,2117,npm,angular,1.6.1,npm,200,Snyk,,SNYK-JS-ANGULAR-572020,2020-06-11 15:24:07,Cross-site Scripting (XSS),,,8.7,high
192,2020-09-03 23:51:58.937876,1683,203,876,2,,medium,1,1683,25,2117,2117,npm,angular,1.6.1,npm,203,Snyk,,npm:angular:20171018,2017-12-25 14:45:01,Cross-site Scripting (XSS),,,6.5,medium
193,2020-09-03 23:51:58.937876,1683,204,876,2,,medium,1,1683,25,2117,2117,npm,angular,1.6.1,npm,204,Snyk,,npm:angular:20180202,2018-02-19 16:16:42,Cross-site Scripting (XSS),,,6.5,medium
194,2020-09-03 23:51:58.937876,1683,196,877,2,,medium,1,1683,25,2117,2117,npm,angular,1.6.1,npm,196,Snyk,,SNYK-JS-ANGULAR-471882,2019-10-04 10:01:13,Cross-site Scripting (XSS),,,6.5,medium
195,2020-09-03 23:51:58.937876,1683,197,877,2,,medium,1,1683,25,2117,2117,npm,angular,1.6.1,npm,197,Snyk,,SNYK-JS-ANGULAR-471885,2019-10-04 10:11:35,Denial of Service (DoS),,,5.3,medium
198,2020-09-03 23:51:58.937876,1683,200,877,2,,high,1,1683,25,2117,2117,npm,angular,1.6.1,npm,200,Snyk,,SNYK-JS-ANGULAR-572020,2020-06-11 15:24:07,Cross-site Scripting (XSS),,,8.7,high
199,2020-09-03 23:51:58.937876,1683,203,877,2,,medium,1,1683,25,2117,2117,npm,angular,1.6.1,npm,203,Snyk,,npm:angular:20171018,2017-12-25 14:45:01,Cross-site Scripting (XSS),,,6.5,medium
200,2020-09-03 23:51:58.937876,1683,204,877,2,,medium,1,1683,25,2117,2117,npm,angular,1.6.1,npm,204,Snyk,,npm:angular:20180202,2018-02-19 16:16:42,Cross-site Scripting (XSS),,,6.5,medium
201,2020-09-03 23:51:58.937876,1683,196,878,2,,medium,1,1683,25,2117,2117,npm,angular,1.6.1,npm,196,Snyk,,SNYK-JS-ANGULAR-471882,2019-10-04 10:01:13,Cross-site Scripting (XSS),,,6.5,medium
